title,url,episode,season
Marge in Chains,https://simpsons.fandom.com/wiki/Marge_in_Chains,21,4
Krusty Gets Kancelled,https://simpsons.fandom.com/wiki/Krusty_Gets_Kancelled,22,4
Homer's Barbershop Quartet,https://simpsons.fandom.com/wiki/Homer%27s_Barbershop_Quartet,1,5
Cape Feare,https://simpsons.fandom.com/wiki/Cape_Feare,2,5
Homer Goes to College,https://simpsons.fandom.com/wiki/Homer_Goes_to_College,3,5
Rosebud,https://simpsons.fandom.com/wiki/Rosebud,4,5
Treehouse of Horror IV,https://simpsons.fandom.com/wiki/Treehouse_of_Horror_IV,5,5
Marge on the Lam,https://simpsons.fandom.com/wiki/Marge_on_the_Lam,6,5
Bart's Inner Child,https://simpsons.fandom.com/wiki/Bart%27s_Inner_Child,7,5
Boy-Scoutz 'n the Hood,https://simpsons.fandom.com/wiki/Boy-Scoutz_%27n_the_Hood,8,5
The Last Temptation of Homer,https://simpsons.fandom.com/wiki/The_Last_Temptation_of_Homer,9,5
"$pringfield (Or, How I Learned to Stop Worrying and Love Legalized Gambling)","https://simpsons.fandom.com/wiki/$pringfield_(Or,_How_I_Learned_to_Stop_Worrying_and_Love_Legalized_Gambling)",10,5
Homer the Vigilante,https://simpsons.fandom.com/wiki/Homer_the_Vigilante,11,5
Bart Gets Famous,https://simpsons.fandom.com/wiki/Bart_Gets_Famous,12,5
Homer and Apu,https://simpsons.fandom.com/wiki/Homer_and_Apu,13,5
Lisa vs. Malibu Stacy,https://simpsons.fandom.com/wiki/Lisa_vs._Malibu_Stacy,14,5
Deep Space Homer,https://simpsons.fandom.com/wiki/Deep_Space_Homer,15,5
Homer Loves Flanders,https://simpsons.fandom.com/wiki/Homer_Loves_Flanders,16,5
Bart Gets an Elephant,https://simpsons.fandom.com/wiki/Bart_Gets_an_Elephant,17,5
Burns' Heir,https://simpsons.fandom.com/wiki/Burns%27_Heir,18,5
Sweet Seymour Skinner's Baadasssss Song,https://simpsons.fandom.com/wiki/Sweet_Seymour_Skinner%27s_Baadasssss_Song,19,5
The Boy Who Knew Too Much,https://simpsons.fandom.com/wiki/The_Boy_Who_Knew_Too_Much,20,5
Lady Bouvier's Lover,https://simpsons.fandom.com/wiki/Lady_Bouvier%27s_Lover,21,5
Secrets of a Successful Marriage,https://simpsons.fandom.com/wiki/Secrets_of_a_Successful_Marriage,22,5
Bart of Darkness,https://simpsons.fandom.com/wiki/Bart_of_Darkness,1,6
Lisa's Rival,https://simpsons.fandom.com/wiki/Lisa%27s_Rival,2,6
Another Simpsons Clip Show,https://simpsons.fandom.com/wiki/Another_Simpsons_Clip_Show,3,6
Itchy & Scratchy Land,https://simpsons.fandom.com/wiki/Itchy_%26_Scratchy_Land,4,6
Sideshow Bob Roberts,https://simpsons.fandom.com/wiki/Sideshow_Bob_Roberts,5,6
Treehouse of Horror V,https://simpsons.fandom.com/wiki/Treehouse_of_Horror_V,6,6
Bart's Girlfriend,https://simpsons.fandom.com/wiki/Bart%27s_Girlfriend,7,6
Lisa on Ice,https://simpsons.fandom.com/wiki/Lisa_on_Ice,8,6
Homer Badman,https://simpsons.fandom.com/wiki/Homer_Badman,9,6
Grampa vs. Sexual Inadequacy,https://simpsons.fandom.com/wiki/Grampa_vs._Sexual_Inadequacy,10,6
Fear of Flying,https://simpsons.fandom.com/wiki/Fear_of_Flying,11,6
Homer the Great,https://simpsons.fandom.com/wiki/Homer_the_Great,12,6
And Maggie Makes Three,https://simpsons.fandom.com/wiki/And_Maggie_Makes_Three,13,6
Bart's Comet,https://simpsons.fandom.com/wiki/Bart%27s_Comet,14,6
Homie the Clown,https://simpsons.fandom.com/wiki/Homie_the_Clown,15,6
Bart vs. Australia,https://simpsons.fandom.com/wiki/Bart_vs._Australia,16,6
Homer vs. Patty and Selma,https://simpsons.fandom.com/wiki/Homer_vs._Patty_and_Selma,17,6
A Star is Burns,https://simpsons.fandom.com/wiki/A_Star_is_Burns,18,6
Lisa's Wedding,https://simpsons.fandom.com/wiki/Lisa%27s_Wedding,19,6
Two Dozen and One Greyhounds,https://simpsons.fandom.com/wiki/Two_Dozen_and_One_Greyhounds,20,6
The PTA Disbands,https://simpsons.fandom.com/wiki/The_PTA_Disbands,21,6
'Round Springfield,https://simpsons.fandom.com/wiki/%27Round_Springfield,22,6
The Springfield Connection,https://simpsons.fandom.com/wiki/The_Springfield_Connection,23,6
Lemon of Troy,https://simpsons.fandom.com/wiki/Lemon_of_Troy,24,6
Who Shot Mr. Burns? (Part One),https://simpsons.fandom.com/wiki/Who_Shot_Mr._Burns%3F_(Part_One),25,6
Who Shot Mr. Burns? (Part Two),https://simpsons.fandom.com/wiki/Who_Shot_Mr._Burns%3F_(Part_Two),1,7
Radioactive Man,https://simpsons.fandom.com/wiki/Radioactive_Man,2,7
Home Sweet Homediddly-Dum-Doodily,https://simpsons.fandom.com/wiki/Home_Sweet_Homediddly-Dum-Doodily,3,7
Bart Sells His Soul,https://simpsons.fandom.com/wiki/Bart_Sells_His_Soul,4,7
Lisa the Vegetarian,https://simpsons.fandom.com/wiki/Lisa_the_Vegetarian,5,7
Treehouse of Horror VI,https://simpsons.fandom.com/wiki/Treehouse_of_Horror_VI,6,7
King-Size Homer,https://simpsons.fandom.com/wiki/King-Size_Homer,7,7
Mother Simpson,https://simpsons.fandom.com/wiki/Mother_Simpson,8,7
Sideshow Bob's Last Gleaming,https://simpsons.fandom.com/wiki/Sideshow_Bob%27s_Last_Gleaming,9,7
The Simpsons 138th Episode Spectacular,https://simpsons.fandom.com/wiki/The_Simpsons_138th_Episode_Spectacular,10,7
Marge Be Not Proud,https://simpsons.fandom.com/wiki/Marge_Be_Not_Proud,11,7
Team Homer,https://simpsons.fandom.com/wiki/Team_Homer,12,7
Two Bad Neighbors,https://simpsons.fandom.com/wiki/Two_Bad_Neighbors,13,7
Scenes from the Class Struggle in Springfield,https://simpsons.fandom.com/wiki/Scenes_from_the_Class_Struggle_in_Springfield,14,7
Bart the Fink,https://simpsons.fandom.com/wiki/Bart_the_Fink,15,7
Lisa the Iconoclast,https://simpsons.fandom.com/wiki/Lisa_the_Iconoclast,16,7
Homer the Smithers,https://simpsons.fandom.com/wiki/Homer_the_Smithers,17,7
The Day the Violence Died,https://simpsons.fandom.com/wiki/The_Day_the_Violence_Died,18,7
A Fish Called Selma,https://simpsons.fandom.com/wiki/A_Fish_Called_Selma,19,7
Bart on the Road,https://simpsons.fandom.com/wiki/Bart_on_the_Road,20,7
22 Short Films About Springfield,https://simpsons.fandom.com/wiki/22_Short_Films_About_Springfield,21,7
"Raging Abe Simpson and His Grumbling Grandson in ""The Curse of the Flying Hellfish",https://simpsons.fandom.com/wiki/Raging_Abe_Simpson_and_His_Grumbling_Grandson_in_%22The_Curse_of_the_Flying_Hellfish%22,22,7
Much Apu About Nothing,https://simpsons.fandom.com/wiki/Much_Apu_About_Nothing,23,7
Homerpalooza,https://simpsons.fandom.com/wiki/Homerpalooza,24,7
Summer of 4 Ft. 2,https://simpsons.fandom.com/wiki/Summer_of_4_Ft._2,25,7
Treehouse of Horror VII,https://simpsons.fandom.com/wiki/Treehouse_of_Horror_VII,1,8
You Only Move Twice,https://simpsons.fandom.com/wiki/You_Only_Move_Twice,2,8
The Homer They Fall,https://simpsons.fandom.com/wiki/The_Homer_They_Fall,3,8
"Burns, Baby Burns","https://simpsons.fandom.com/wiki/Burns,_Baby_Burns",4,8
Bart After Dark,https://simpsons.fandom.com/wiki/Bart_After_Dark,5,8
A Milhouse Divided,https://simpsons.fandom.com/wiki/A_Milhouse_Divided,6,8
Lisa's Date with Density,https://simpsons.fandom.com/wiki/Lisa%27s_Date_with_Density,7,8
Hurricane Neddy,https://simpsons.fandom.com/wiki/Hurricane_Neddy,8,8
El Viaje Misterioso de Nuestro Jomer (The Mysterious Voyage of Homer),https://simpsons.fandom.com/wiki/El_Viaje_Misterioso_de_Nuestro_Jomer_(The_Mysterious_Voyage_of_Homer),9,8
The Springfield Files,https://simpsons.fandom.com/wiki/The_Springfield_Files,10,8
The Twisted World of Marge Simpson,https://simpsons.fandom.com/wiki/The_Twisted_World_of_Marge_Simpson,11,8
Mountain of Madness,https://simpsons.fandom.com/wiki/Mountain_of_Madness,12,8
Simpsoncalifragilisticexpiala(Annoyed Grunt)cious,https://simpsons.fandom.com/wiki/Simpsoncalifragilisticexpiala(Annoyed_Grunt)cious,13,8
The Itchy & Scratchy & Poochie Show,https://simpsons.fandom.com/wiki/The_Itchy_%26_Scratchy_%26_Poochie_Show,14,8
Homer's Phobia,https://simpsons.fandom.com/wiki/Homer%27s_Phobia,15,8
Brother from Another Series,https://simpsons.fandom.com/wiki/Brother_from_Another_Series,16,8
"My Sister, My Sitter","https://simpsons.fandom.com/wiki/My_Sister,_My_Sitter",17,8
Homer vs. the Eighteenth Amendment,https://simpsons.fandom.com/wiki/Homer_vs._the_Eighteenth_Amendment,18,8
Grade School Confidential,https://simpsons.fandom.com/wiki/Grade_School_Confidential,19,8
The Canine Mutiny,https://simpsons.fandom.com/wiki/The_Canine_Mutiny,20,8
The Old Man and the Lisa,https://simpsons.fandom.com/wiki/The_Old_Man_and_the_Lisa,21,8
In Marge We Trust,https://simpsons.fandom.com/wiki/In_Marge_We_Trust,22,8
Homer's Enemy,https://simpsons.fandom.com/wiki/Homer%27s_Enemy,23,8
The Simpsons Spin-Off Showcase,https://simpsons.fandom.com/wiki/The_Simpsons_Spin-Off_Showcase,24,8
The Secret War of Lisa Simpson,https://simpsons.fandom.com/wiki/The_Secret_War_of_Lisa_Simpson,25,8
The City of New York vs. Homer Simpson,https://simpsons.fandom.com/wiki/The_City_of_New_York_vs._Homer_Simpson,1,9
The Principal and the Pauper,https://simpsons.fandom.com/wiki/The_Principal_and_the_Pauper,2,9
Lisa's Sax,https://simpsons.fandom.com/wiki/Lisa%27s_Sax,3,9
Treehouse of Horror VIII,https://simpsons.fandom.com/wiki/Treehouse_of_Horror_VIII,4,9
The Cartridge Family,https://simpsons.fandom.com/wiki/The_Cartridge_Family,5,9
Bart Star,https://simpsons.fandom.com/wiki/Bart_Star,6,9
The Two Mrs. Nahasapeemapetilons,https://simpsons.fandom.com/wiki/The_Two_Mrs._Nahasapeemapetilons,7,9
Lisa the Skeptic,https://simpsons.fandom.com/wiki/Lisa_the_Skeptic,8,9
Realty Bites,https://simpsons.fandom.com/wiki/Realty_Bites,9,9
Miracle on Evergreen Terrace,https://simpsons.fandom.com/wiki/Miracle_on_Evergreen_Terrace,10,9
"All Singing, All Dancing","https://simpsons.fandom.com/wiki/All_Singing,_All_Dancing",11,9
Bart Carny,https://simpsons.fandom.com/wiki/Bart_Carny,12,9
The Joy of Sect,https://simpsons.fandom.com/wiki/The_Joy_of_Sect,13,9
Das Bus,https://simpsons.fandom.com/wiki/Das_Bus,14,9
The Last Temptation of Krust,https://simpsons.fandom.com/wiki/The_Last_Temptation_of_Krust,15,9
Dumbbell Indemnity,https://simpsons.fandom.com/wiki/Dumbbell_Indemnity,16,9
Lisa the Simpson,https://simpsons.fandom.com/wiki/Lisa_the_Simpson,17,9
This Little Wiggy,https://simpsons.fandom.com/wiki/This_Little_Wiggy,18,9
Simpson Tide,https://simpsons.fandom.com/wiki/Simpson_Tide,19,9
The Trouble with Trillions,https://simpsons.fandom.com/wiki/The_Trouble_with_Trillions,20,9
Girly Edition,https://simpsons.fandom.com/wiki/Girly_Edition,21,9
Trash of the Titans,https://simpsons.fandom.com/wiki/Trash_of_the_Titans,22,9
King of the Hill,https://simpsons.fandom.com/wiki/King_of_the_Hill,23,9
Lost Our Lisa,https://simpsons.fandom.com/wiki/Lost_Our_Lisa,24,9
Natural Born Kissers,https://simpsons.fandom.com/wiki/Natural_Born_Kissers,25,9
Lard of the Dance,https://simpsons.fandom.com/wiki/Lard_of_the_Dance,1,10
The Wizard of Evergreen Terrace,https://simpsons.fandom.com/wiki/The_Wizard_of_Evergreen_Terrace,2,10
Bart the Mother,https://simpsons.fandom.com/wiki/Bart_the_Mother,3,10
Treehouse of Horror IX,https://simpsons.fandom.com/wiki/Treehouse_of_Horror_IX,4,10
When You Dish Upon a Star,https://simpsons.fandom.com/wiki/When_You_Dish_Upon_a_Star,5,10
D'oh-in' in the Wind,https://simpsons.fandom.com/wiki/D%27oh-in%27_in_the_Wind,6,10
"Lisa Gets an ""A""",https://simpsons.fandom.com/wiki/Lisa_Gets_an_%22A%22,7,10
"Homer Simpson in: ""Kidney Trouble""",https://simpsons.fandom.com/wiki/Homer_Simpson_in:_%22Kidney_Trouble%22,8,10
Mayored to the Mob,https://simpsons.fandom.com/wiki/Mayored_to_the_Mob,9,10
Viva Ned Flanders,https://simpsons.fandom.com/wiki/Viva_Ned_Flanders,10,10
Wild Barts Can't Be Broken,https://simpsons.fandom.com/wiki/Wild_Barts_Can%27t_Be_Broken,11,10
"Sunday, Cruddy Sunday","https://simpsons.fandom.com/wiki/Sunday,_Cruddy_Sunday",12,10
Homer to the Max,https://simpsons.fandom.com/wiki/Homer_to_the_Max,13,10
I'm with Cupid,https://simpsons.fandom.com/wiki/I%27m_with_Cupid,14,10
"Marge Simpson in: ""Screaming Yellow Honkers""",https://simpsons.fandom.com/wiki/Marge_Simpson_in:_%22Screaming_Yellow_Honkers%22,15,10
Make Room for Lisa,https://simpsons.fandom.com/wiki/Make_Room_for_Lisa,16,10
Maximum Homerdrive,https://simpsons.fandom.com/wiki/Maximum_Homerdrive,17,10
Simpsons Bible Stories,https://simpsons.fandom.com/wiki/Simpsons_Bible_Stories,18,10
Mom and Pop Art,https://simpsons.fandom.com/wiki/Mom_and_Pop_Art,19,10
"The Old Man and the ""C"" Student",https://simpsons.fandom.com/wiki/The_Old_Man_and_the_%22C%22_Student,20,10
Monty Can't Buy Me Love,https://simpsons.fandom.com/wiki/Monty_Can%27t_Buy_Me_Love,21,10
They Saved Lisa's Brain,https://simpsons.fandom.com/wiki/They_Saved_Lisa%27s_Brain,22,10
Thirty Minutes Over Tokyo,https://simpsons.fandom.com/wiki/Thirty_Minutes_Over_Tokyo,23,10
Beyond Blunderdome,https://simpsons.fandom.com/wiki/Beyond_Blunderdome,1,11
Brother's Little Helper,https://simpsons.fandom.com/wiki/Brother%27s_Little_Helper,2,11
Guess Who's Coming to Criticize Dinner?,https://simpsons.fandom.com/wiki/Guess_Who%27s_Coming_to_Criticize_Dinner%3F,3,11
Treehouse of Horror X,https://simpsons.fandom.com/wiki/Treehouse_of_Horror_X,4,11
E-I-E-I-D'oh,https://simpsons.fandom.com/wiki/E-I-E-I-D%27oh,5,11
"Hello Gutter, Hello Fadder","https://simpsons.fandom.com/wiki/Hello_Gutter,_Hello_Fadder",6,11
Eight Misbehavin',https://simpsons.fandom.com/wiki/Eight_Misbehavin%27,7,11
"Take My Wife, Sleaze","https://simpsons.fandom.com/wiki/Take_My_Wife,_Sleaze",8,11
Grift of the Magi,https://simpsons.fandom.com/wiki/Grift_of_the_Magi,9,11
Little Big Mom,https://simpsons.fandom.com/wiki/Little_Big_Mom,10,11
Faith Off,https://simpsons.fandom.com/wiki/Faith_Off,11,11
The Mansion Family,https://simpsons.fandom.com/wiki/The_Mansion_Family,12,11
Saddlesore Galactica,https://simpsons.fandom.com/wiki/Saddlesore_Galactica,13,11
"Alone Again, Natura-Diddily","https://simpsons.fandom.com/wiki/Alone_Again,_Natura-Diddily",14,11
Missionary: Impossible,https://simpsons.fandom.com/wiki/Missionary:_Impossible,15,11
Pygmoelian,https://simpsons.fandom.com/wiki/Pygmoelian,16,11
Bart to the Future,https://simpsons.fandom.com/wiki/Bart_to_the_Future,17,11
Days of Wine and D'oh'ses,https://simpsons.fandom.com/wiki/Days_of_Wine_and_D%27oh%27ses,18,11
Kill the Alligator and Run,https://simpsons.fandom.com/wiki/Kill_the_Alligator_and_Run,19,11
Last Tap Dance in Springfield,https://simpsons.fandom.com/wiki/Last_Tap_Dance_in_Springfield,20,11
"It's a Mad, Mad, Mad, Mad Marge","https://simpsons.fandom.com/wiki/It%27s_a_Mad,_Mad,_Mad,_Mad_Marge",21,11
Behind the Laughter,https://simpsons.fandom.com/wiki/Behind_the_Laughter,22,11
Treehouse of Horror XI,https://simpsons.fandom.com/wiki/Treehouse_of_Horror_XI,1,12
A Tale of Two Springfields,https://simpsons.fandom.com/wiki/A_Tale_of_Two_Springfields,2,12
Insane Clown Poppy,https://simpsons.fandom.com/wiki/Insane_Clown_Poppy,3,12
Lisa the Tree Hugger,https://simpsons.fandom.com/wiki/Lisa_the_Tree_Hugger,4,12
Homer vs. Dignity,https://simpsons.fandom.com/wiki/Homer_vs._Dignity,5,12
The Computer Wore Menace Shoes,https://simpsons.fandom.com/wiki/The_Computer_Wore_Menace_Shoes,6,12
The Great Money Caper,https://simpsons.fandom.com/wiki/The_Great_Money_Caper,7,12
Skinner's Sense of Snow,https://simpsons.fandom.com/wiki/Skinner%27s_Sense_of_Snow,8,12
HOMЯ,https://simpsons.fandom.com/wiki/HOM%D0%AF,9,12
Pokey Mom,https://simpsons.fandom.com/wiki/Pokey_Mom,10,12
Worst Episode Ever,https://simpsons.fandom.com/wiki/Worst_Episode_Ever,11,12
Tennis the Menace,https://simpsons.fandom.com/wiki/Tennis_the_Menace,12,12
Day of the Jackanapes,https://simpsons.fandom.com/wiki/Day_of_the_Jackanapes,13,12
New Kids on the Blecch,https://simpsons.fandom.com/wiki/New_Kids_on_the_Blecch,14,12
"Hungry, Hungry Homer","https://simpsons.fandom.com/wiki/Hungry,_Hungry_Homer",15,12
Bye Bye Nerdie,https://simpsons.fandom.com/wiki/Bye_Bye_Nerdie,16,12
Simpson Safari,https://simpsons.fandom.com/wiki/Simpson_Safari,17,12
Trilogy of Error,https://simpsons.fandom.com/wiki/Trilogy_of_Error,18,12
I'm Goin' to Praiseland,https://simpsons.fandom.com/wiki/I%27m_Goin%27_to_Praiseland,19,12
Children of a Lesser Clod,https://simpsons.fandom.com/wiki/Children_of_a_Lesser_Clod,20,12
Simpsons Tall Tales,https://simpsons.fandom.com/wiki/Simpsons_Tall_Tales,21,12
Treehouse of Horror XII,https://simpsons.fandom.com/wiki/Treehouse_of_Horror_XII,1,13
The Parent Rap,https://simpsons.fandom.com/wiki/The_Parent_Rap,2,13
Homer the Moe,https://simpsons.fandom.com/wiki/Homer_the_Moe,3,13
A Hunka Hunka Burns in Love,https://simpsons.fandom.com/wiki/A_Hunka_Hunka_Burns_in_Love,4,13
The Blunder Years,https://simpsons.fandom.com/wiki/The_Blunder_Years,5,13
She of Little Faith,https://simpsons.fandom.com/wiki/She_of_Little_Faith,6,13
Brawl in the Family,https://simpsons.fandom.com/wiki/Brawl_in_the_Family,7,13
Sweets and Sour Marge,https://simpsons.fandom.com/wiki/Sweets_and_Sour_Marge,8,13
Jaws Wired Shut,https://simpsons.fandom.com/wiki/Jaws_Wired_Shut,9,13
Half-Decent Proposal,https://simpsons.fandom.com/wiki/Half-Decent_Proposal,10,13
The Bart Wants What It Wants,https://simpsons.fandom.com/wiki/The_Bart_Wants_What_It_Wants,11,13
The Lastest Gun in the West,https://simpsons.fandom.com/wiki/The_Lastest_Gun_in_the_West,12,13
The Old Man and the Key,https://simpsons.fandom.com/wiki/The_Old_Man_and_the_Key,13,13
Tales from the Public Domain,https://simpsons.fandom.com/wiki/Tales_from_the_Public_Domain,14,13
Blame It on Lisa,https://simpsons.fandom.com/wiki/Blame_It_on_Lisa,15,13
Weekend at Burnsie's,https://simpsons.fandom.com/wiki/Weekend_at_Burnsie%27s,16,13
Gump Roast,https://simpsons.fandom.com/wiki/Gump_Roast,17,13
I Am Furious (Yellow),https://simpsons.fandom.com/wiki/I_Am_Furious_(Yellow),18,13
The Sweetest Apu,https://simpsons.fandom.com/wiki/The_Sweetest_Apu,19,13
Little Girl in the Big Ten,https://simpsons.fandom.com/wiki/Little_Girl_in_the_Big_Ten,20,13
The Frying Game,https://simpsons.fandom.com/wiki/The_Frying_Game,21,13
Poppa's Got a Brand New Badge,https://simpsons.fandom.com/wiki/Poppa%27s_Got_a_Brand_New_Badge,22,13
Treehouse of Horror XIII,https://simpsons.fandom.com/wiki/Treehouse_of_Horror_XIII,1,14
How I Spent My Strummer Vacation,https://simpsons.fandom.com/wiki/How_I_Spent_My_Strummer_Vacation,2,14
Bart vs. Lisa vs. the Third Grade,https://simpsons.fandom.com/wiki/Bart_vs._Lisa_vs._the_Third_Grade,3,14
Large Marge,https://simpsons.fandom.com/wiki/Large_Marge,4,14
Helter Shelter,https://simpsons.fandom.com/wiki/Helter_Shelter,5,14
The Great Louse Detective,https://simpsons.fandom.com/wiki/The_Great_Louse_Detective,6,14
