episode_id,cult_refs_count,self_refs_count,goofs_count,errors_count
437,7,0,2,0
438,2,0,6,0
439,9,0,2,0
440,0,0,1,0
441,16,0,6,0
442,0,0,1,0
443,6,0,8,0
444,8,0,9,0
445,12,0,4,0
446,10,0,0,0
447,3,0,8,0
448,7,0,6,0
449,12,5,5,0
450,3,0,2,0
451,4,0,5,0
452,7,0,2,0
453,5,0,2,0
454,7,0,5,0
455,7,0,7,0
456,23,0,8,0
457,10,0,2,1
458,5,0,0,0
459,5,0,1,0
460,11,0,5,0
461,9,0,13,0
462,9,0,8,0
463,10,0,7,0
464,6,0,3,0
465,19,0,7,0
466,3,0,6,0
467,9,0,3,0
468,15,0,4,0
469,14,0,2,0
470,14,0,8,0
471,4,0,4,0
472,10,0,4,0
473,3,0,2,0
474,0,0,3,0
475,16,0,2,0
476,12,0,1,0
477,7,0,2,0
478,21,0,4,0
479,9,0,0,0
480,7,0,1,0
481,9,0,1,0
482,11,0,14,0
483,0,0,2,0
484,5,0,13,0
485,3,0,1,0
486,3,0,3,0
487,8,0,0,0
488,9,0,10,0
489,13,10,0,0
490,13,0,3,0
491,6,0,4,0
492,19,0,7,0
493,7,0,5,0
494,18,0,8,0
495,17,0,10,0
496,11,0,3,0
497,11,0,4,0
498,0,0,0,0
499,10,0,2,0
500,4,10,2,0
501,13,0,3,0
502,13,0,2,0
503,20,0,3,0
504,10,0,6,0
505,10,0,10,0
506,0,0,2,0
507,0,0,11,2
508,7,0,1,0
509,10,0,4,0
510,10,20,17,0
511,8,0,8,0
512,8,0,3,0
513,5,0,5,0
514,7,1,6,0
515,11,0,0,0
516,0,0,4,0
517,9,0,0,0
518,9,0,4,0
519,0,0,0,0
520,9,0,0,0
521,0,0,2,0
522,3,0,0,0
523,1,0,2,0
524,0,0,1,0
525,6,0,3,0
526,17,0,4,0
527,0,0,2,0
528,6,0,1,0
529,0,0,5,0
530,4,0,5,0
531,0,0,2,0
532,40,0,2,0
533,3,0,4,0
534,5,0,4,0
535,0,0,1,0
536,0,0,2,0
537,11,0,1,0
538,0,0,0,5
539,19,0,4,0
540,17,0,3,0
541,11,0,0,0
542,0,0,8,0
543,6,0,0,0
544,5,0,3,0
545,3,0,0,0
546,0,0,3,0
547,10,0,3,0
548,15,0,3,0
549,10,0,3,0
550,0,0,4,0
551,0,0,4,0
552,5,0,3,0
553,1,0,3,0
554,0,0,2,0
555,6,0,4,0
556,28,0,4,0
557,4,0,1,0
558,0,0,5,0
559,5,0,2,0
560,0,0,2,0
561,19,0,2,0
562,13,0,3,0
563,0,0,2,0
564,6,0,0,0
565,7,0,9,0
566,8,0,0,0
567,0,0,2,0
568,4,0,5,0
569,9,0,2,0
570,2,0,5,0
571,0,0,5,0
572,3,0,3,0
573,6,0,0,3
574,5,0,1,0
575,5,0,1,0
576,7,22,2,0
577,4,0,2,0
578,7,0,6,0
579,17,0,7,0
580,5,0,4,0
581,9,0,2,0
582,9,0,2,0
583,3,0,4,0
584,9,0,3,0
585,9,0,3,0
586,6,0,6,0
587,6,0,1,0
588,6,0,3,0
589,5,0,5,0
590,6,0,3,0
591,9,0,4,0
592,7,0,4,0
593,8,0,2,0
594,5,0,4,0
595,5,0,6,0
596,2,0,4,0
597,11,0,7,0
598,8,0,3,0
599,25,0,3,0
600,18,0,9,0
601,13,0,3,0
602,6,0,7,0
603,9,0,3,0
604,6,0,2,0
605,5,0,3,0
606,5,0,6,0
607,5,0,1,0
608,3,0,2,0
609,6,0,4,0
610,10,0,2,0
611,15,0,5,0
612,6,0,2,0
613,3,0,1,0
614,4,0,0,0
615,2,0,2,0
616,5,0,1,0
617,1,0,0,0
